"","WMU","Id","d_PCIntra","d_PCFlux","d_PCCon","time_diff"
"62","4U","62","2.853578021503314E-11","5.989021700287517E-6",0,19.2439049005508
"63","4U","63","5.419562177262463E-4","0.03259667266850015",0.00834901193595591,19.2439049005508
"64","4U","64","2.853578021503314E-11","6.694776734816856E-6",0,19.2439049005508
"65","4U","65","1.1414312085968918E-10","1.284598485709298E-5",0,19.2439049005508
"66","4U","66","1.1414312086367959E-10","1.26262191717132E-5",0,19.2439049005508
"67","4U","67","2.8535780214811454E-11","3.864584209879231E-6",0,19.2439049005508
"68","4U","68","5.033711630070578E-8","2.5719031842374784E-4",0,19.2439049005508
"69","4U","69","2.853578021680666E-11","6.1581997527193534E-6",0,19.2439049005508
"70","4U","70","2.8535780216584958E-11","6.711731233622173E-6",0,19.2439049005508
"71","4U","71","2.853578021503314E-11","4.828477721586962E-6",0,19.2439049005508
"72","4U","72","2.8535780214811454E-11","4.790847049194895E-6",0,19.2439049005508
"73","4U","73","2.568220219352983E-10","2.025817541850232E-5",2.25114613899661e-12,19.2439049005508
"74","4U","74","1.509542773408906E-8","1.4776960733108626E-4",0,19.2439049005508
"75","4U","75","0.0016495281536639246","0.0605202277151928",0.0119822488779148,19.2439049005508
"76","4U","76","3.267061476906033E-5","0.0040959354090415985",0.000447457046518977,19.2439049005508
"77","4U","77","1.3982532305955933E-9","3.37115789291144E-5",0,19.2439049005508
"78","4U","78","1.1414312086367959E-10","9.526196586255653E-6",0,19.2439049005508
"79","4U","79","2.568220219505948E-10","1.9437887107715174E-5",0,19.2439049005508
"80","4U","80","1.1414312086678324E-10","1.2938811857066544E-5",0,19.2439049005508
"81","4U","81","2.8535780216584958E-11","6.326040770436019E-6",4.23586797935133e-09,19.2439049005508
"82","4U","82","1.3982532305816264E-9","4.456197116364943E-5",2.22071363133178e-08,19.2439049005508
"83","4U","83","2.8535780216584958E-11","6.361658908575739E-6",4.29968771064716e-12,19.2439049005508
"84","4U","84","2.8535780216584958E-11","6.7699387190495494E-6",1.974687113442e-12,19.2439049005508
"85","4U","85","2.853578021680666E-11","7.074486560137889E-6",0,19.2439049005508
"86","4U","86","2.853578021503314E-11","4.47671453542171E-6",0,19.2439049005508
"87","4U","87","2.853578021503314E-11","6.323080686893921E-6",1.81026817310758e-08,19.2439049005508
"88","4U","88","2.853578021503314E-11","6.787081583103772E-6",0,19.2439049005508
"89","4U","89","2.853578021680666E-11","4.465407168236385E-6",0,19.2439049005508
"90","4U","90","2.853578021503314E-11","6.480017562189169E-6",8.339045530291e-13,19.2439049005508
"91","4U","91","2.853578021503314E-11","6.513601361638405E-6",0,19.2439049005508
"92","4U","92","4.5657248344762426E-10","2.5990531811602887E-5",9.88058936187296e-08,19.2439049005508
"93","4U","93","1.027288087773116E-9","3.351135953114284E-5",0,19.2439049005508
"94","4U","94","2.853578021503314E-11","6.588331993297472E-6",5.11958538367119e-12,19.2439049005508
"95","4U","95","4.109152351073844E-9","7.655127989654074E-5",1.08484475516647e-08,19.2439049005508
"96","4U","96","2.853578021503314E-11","6.646860599303427E-6",0,19.2439049005508
"97","4U","97","2.853578021680666E-11","5.593520492657383E-6",4.25513990406667e-08,19.2439049005508
"98","4U","98","2.853578021680666E-11","6.587812161739056E-6",4.01829232101804e-10,19.2439049005508
"99","4U","99","7.133945053991058E-10","3.24968763951344E-5",7.44693361885538e-09,19.2439049005508
"100","4U","100","2.853578021680666E-11","6.728218310782468E-6",0,19.2439049005508
"101","4U","101","2.853578021680666E-11","6.605671672970156E-6",0,19.2439049005508
"102","4U","102","2.853578021680666E-11","6.735094675282789E-6",0,19.2439049005508
"103","4U","103","2.853578021503314E-11","6.209892165470611E-6",0,19.2439049005508
"104","4U","104","1.1414312085968918E-10","1.3220693658260299E-5",0,19.2439049005508
"105","4U","105","2.8535780216584958E-11","7.0009054667009014E-6",0,19.2439049005508
"106","4U","106","2.8535780216584958E-11","7.086811629237671E-6",0,19.2439049005508
"107","4U","107","1.8262899338029114E-9","3.365341198692348E-5",0,19.2439049005508
"108","4U","108","3.698237115951294E-8","1.5379190200750956E-4",3.49374301151382e-06,19.2439049005508
"109","4U","109","2.853578021503314E-11","6.486557808206795E-6",0,19.2439049005508
"110","4U","110","2.8535780214811454E-11","6.437539041186397E-6",0,19.2439049005508
"111","4U","111","5.524527049760148E-8","3.161504713171069E-4",2.75038098744363e-07,19.2439049005508
"112","4U","112","5.593012922332715E-9","6.353975544624144E-5",0,19.2439049005508
"113","4U","113","2.853578021680666E-11","6.101756388072215E-6",0,19.2439049005508
"114","4U","114","2.853578021603074E-9","6.477310159780744E-5",3.79626876294187e-06,19.2439049005508
"115","4U","115","2.8535780216584958E-11","7.159658247251173E-6",0,19.2439049005508
"116","4U","116","2.8535780214811454E-11","6.086342759249707E-6",0,19.2439049005508
"117","4U","117","7.133945054002142E-10","2.4295317189047922E-5",0,19.2439049005508
"118","4U","118","2.853578021680666E-11","6.4773852666477224E-6",9.7418557853442e-12,19.2439049005508
"119","4U","119","2.853578021503314E-11","6.461022753994811E-6",0,19.2439049005508
"120","4U","120","2.853578021503314E-11","6.493788929280767E-6",0,19.2439049005508
"121","4U","121","2.8535780216584958E-11","4.211483330084722E-6",0,19.2439049005508
